Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.157.65.13-104.208.16.95-59958-443-6,10.157.65.13,59958,104.208.16.95,443,6,31/03/2026 03:06:08 PM,3312006,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.2077272806872936,1104002.0,851700.3811857783,1998798.0,303194.0,0,0,0,0,0,3312006.0,1104002.0,851700.3811857783,1998798.0,303194.0,0,0,0,0,0,128,0.0,1.2077272806872936,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-50406-6,10.157.65.154,53,10.157.65.13,50406,6,31/03/2026 03:06:31 PM,96,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20833.333333333332,96.0,0.0,96.0,96.0,0,0,0,0,0,96.0,96.0,0.0,96.0,96.0,0,0,0,0,0,40,0.0,20833.333333333332,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-49978-17,10.157.65.13,49978,10.157.65.154,53,17,31/03/2026 03:06:09 PM,6403146,2,4,79.0,481.0,50.0,29.0,39.5,14.849242404917497,188.0,56.0,120.25,71.5,87.45700941381003,0.9370393865765361,1280629.2,2453911.3383846413,5639252.0,5593.0,5646932.0,5646932.0,0.0,5646932.0,5646932.0,6403146.0,2134382.0,3103485.3447456458,5695337.0,5593.0,0,0,0,0,16,32,0.31234646219217865,0.6246929243843573,29.0,188.0,88.0,65.12296062065974,4241.0,0,0,0,0,0,0,0,0,2.0,102.66666666666667,39.5,120.25,0,0,0,0,0,0,2,79,4,481,-1,-1,2,0,707809.0,0.0,707809.0,707809.0,5639252.0,0.0,5639252.0,5639252.0,No Label
10.157.65.154-10.157.65.13-53-54746-6,10.157.65.154,53,10.157.65.13,54746,6,31/03/2026 03:05:41 PM,88,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22727.272727272728,88.0,0.0,88.0,88.0,0,0,0,0,0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,0,40,0.0,22727.272727272728,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-60906-6,10.157.65.154,53,10.157.65.13,60906,6,31/03/2026 03:05:45 PM,67,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29850.746268656716,67.0,0.0,67.0,67.0,0,0,0,0,0,67.0,67.0,0.0,67.0,67.0,0,0,0,0,0,40,0.0,29850.746268656716,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.13-52.168.117.174-63544-443-6,10.157.65.13,63544,52.168.117.174,443,6,31/03/2026 03:06:36 PM,3336348,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1989157006403408,1112116.0,916253.2913037748,2095501.0,282436.0,0,0,0,0,0,3336348.0,1112116.0,916253.2913037748,2095501.0,282436.0,0,0,0,0,0,128,0.0,1.1989157006403408,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-56675-6,10.157.65.154,53,10.157.65.13,56675,6,31/03/2026 03:06:30 PM,72,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27777.777777777777,72.0,0.0,72.0,72.0,0,0,0,0,0,72.0,72.0,0.0,72.0,72.0,0,0,0,0,0,40,0.0,27777.777777777777,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-56041-6,10.157.65.154,53,10.157.65.13,56041,6,31/03/2026 03:05:41 PM,373,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5361.930294906166,373.0,0.0,373.0,373.0,0,0,0,0,0,373.0,373.0,0.0,373.0,373.0,0,0,0,0,0,40,0.0,5361.930294906166,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-49710-6,10.157.65.154,53,10.157.65.13,49710,6,31/03/2026 03:05:40 PM,126,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15873.015873015873,126.0,0.0,126.0,126.0,0,0,0,0,0,126.0,126.0,0.0,126.0,126.0,0,0,0,0,0,40,0.0,15873.015873015873,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-50288-6,10.157.65.154,53,10.157.65.13,50288,6,31/03/2026 03:05:49 PM,87,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22988.505747126437,87.0,0.0,87.0,87.0,0,0,0,0,0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,40,0.0,22988.505747126437,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
